,Provincia,Cantón,Parroquia,Densidad Poblacional
106,CAÑAR,AZOGUES,LUIS CORDERO,162.0
107,CAÑAR,AZOGUES,PINDILIG,16.0
108,CAÑAR,AZOGUES,RIVERA,3.0
109,CAÑAR,AZOGUES,SAN MIGUEL,135.0
110,CAÑAR,AZOGUES,TADAY,20.0
111,CAÑAR,BIBLIÁN,BIBLIÁN,206.0
112,CAÑAR,BIBLIÁN,NAZÓN,44.0
113,CAÑAR,BIBLIÁN,SAN FRANCISCO DE SAGEO,392.0
114,CAÑAR,BIBLIÁN,TURUPAMBA,165.0
115,CAÑAR,BIBLIÁN,JERUSALÉN,28.0
116,CAÑAR,CAÑAR,CAÑAR,227.0
117,CAÑAR,CAÑAR,CHONTAMARCA,15.0
118,CAÑAR,CAÑAR,CHOROCOPTE,80.0
119,CAÑAR,CAÑAR,GENERAL MORALES,20.0
120,CAÑAR,CAÑAR,GUALLETURO,11.0
121,CAÑAR,CAÑAR,HONORATO VÁSQUEZ,77.0
122,CAÑAR,CAÑAR,INGAPIRCA,17.0
123,CAÑAR,CAÑAR,JUNCAL,26.0
124,CAÑAR,CAÑAR,SAN ANTONIO,5.0
125,CAÑAR,CAÑAR,ZHUD,20.0
126,CAÑAR,CAÑAR,VENTURA,20.0
127,CAÑAR,CAÑAR,DUCUR,37.0
128,CAÑAR,LA TRONCAL,LA TRONCAL,297.0
129,CAÑAR,LA TRONCAL,MANUEL J. CALLE,78.0
130,CAÑAR,LA TRONCAL,PANCHO NEGRO,72.0
131,CAÑAR,EL TAMBO,EL TAMBO,147.0
132,CAÑAR,DÉLEG,DÉLEG,75.0
133,CAÑAR,DÉLEG,SOLANO,105.0
134,CAÑAR,SUSCAL,SUSCAL,87.0
135,CARCHI,TULCÁN,TULCÁN,473.0
136,CARCHI,TULCÁN,EL CARMELO,33.0
137,CARCHI,TULCÁN,JULIO ANDRADE,114.0
138,CARCHI,TULCÁN,MALDONADO,10.0
139,CARCHI,TULCÁN,PIOTER,38.0
140,CARCHI,TULCÁN,TOBAR DONOSO,2.0
141,CARCHI,TULCÁN,TUFIÑO,15.0
142,CARCHI,TULCÁN,URBINA,44.0
143,CARCHI,TULCÁN,EL CHICAL,10.0
144,CARCHI,TULCÁN,SANTA MARTHA DE CUBA,145.0
145,CARCHI,BOLÍVAR,BOLÍVAR,59.0
146,CARCHI,BOLÍVAR,GARCÍA MORENO,23.0
147,CARCHI,BOLÍVAR,LOS ANDES,43.0
148,CARCHI,BOLÍVAR,MONTE OLIVO,24.0
149,CARCHI,BOLÍVAR,SAN VICENTE DE PUSIR,53.0
150,CARCHI,BOLÍVAR,SAN RAFAEL,63.0
151,CARCHI,ESPEJO,EL ÁNGEL,62.0
152,CARCHI,ESPEJO,EL GOALTAL,3.0
153,CARCHI,ESPEJO,LA LIBERTAD,25.0
154,CARCHI,ESPEJO,SAN ISIDRO,64.0
155,CARCHI,MIRA,MIRA,67.0
156,CARCHI,MIRA,CONCEPCIÓN,18.0
157,CARCHI,MIRA,JIJÓN Y CAAMAÑO,7.0
158,CARCHI,MIRA,JUAN MONTALVO,26.0
159,CARCHI,MONTÚFAR,SAN GABRIEL,141.0
160,CARCHI,MONTÚFAR,CRISTÓBAL COLÓN,89.0
161,CARCHI,MONTÚFAR,CHITÁN DE NAVARRETE,16.0
162,CARCHI,MONTÚFAR,FERNÁNDEZ SALVADOR,36.0
163,CARCHI,MONTÚFAR,LA PAZ,30.0
164,CARCHI,MONTÚFAR,PIARTAL,50.0
165,CARCHI,SAN PEDRO DE HUACA,HUACA,149.0
166,CARCHI,SAN PEDRO DE HUACA,MARISCAL SUCRE,45.0
167,COTOPAXI,LATACUNGA,LATACUNGA,472.0
168,COTOPAXI,LATACUNGA,ALÁQUEZ,55.0
169,COTOPAXI,LATACUNGA,BELISARIO QUEVEDO,192.0
170,COTOPAXI,LATACUNGA,GUAYTACAMA,569.0
171,COTOPAXI,LATACUNGA,JOSEGUANGO BAJO,134.0
172,COTOPAXI,LATACUNGA,MULALÓ,18.0
173,COTOPAXI,LATACUNGA,ONCE DE NOVIEMBRE,311.0
174,COTOPAXI,LATACUNGA,POALÓ,65.0
175,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,107.0
176,COTOPAXI,LATACUNGA,TANICUCHI,291.0
177,COTOPAXI,LATACUNGA,TOACASO,52.0
178,COTOPAXI,LA MANÁ,LA MANÁ,208.0
179,COTOPAXI,LA MANÁ,GUASAGANDA,16.0
180,COTOPAXI,LA MANÁ,PUCAYACU,11.0
181,COTOPAXI,PANGUA,EL CORAZÓN,34.0
182,COTOPAXI,PANGUA,MORASPUNGO,34.0
183,COTOPAXI,PANGUA,PINLLOPATA,21.0
184,COTOPAXI,PANGUA,RAMÓN CAMPAÑA,15.0
185,COTOPAXI,PUJILÍ,PUJILÍ,144.0
186,COTOPAXI,PUJILÍ,ANGAMARCA,13.0
187,COTOPAXI,PUJILÍ,GUANGAJE,33.0
188,COTOPAXI,PUJILÍ,LA VICTORIA,191.0
189,COTOPAXI,PUJILÍ,PILALÓ,9.0
190,COTOPAXI,PUJILÍ,TINGO,21.0
191,COTOPAXI,PUJILÍ,ZUMBAHUA,33.0
192,COTOPAXI,SALCEDO,SAN MIGUEL,202.0
193,COTOPAXI,SALCEDO,ANTONIO JOSÉ HOLGUÍN,472.0
194,COTOPAXI,SALCEDO,CUSUBAMBA,37.0
195,COTOPAXI,SALCEDO,MULALILLO,176.0
196,COTOPAXI,SALCEDO,MULLIQUINDIL,159.0
197,COTOPAXI,SALCEDO,PANSALEO,251.0
198,COTOPAXI,SAQUISILÍ,SAQUISILÍ,391.0
199,COTOPAXI,SAQUISILÍ,CANCHAGUA,138.0
200,COTOPAXI,SAQUISILÍ,CHANTILÍN,452.0
201,COTOPAXI,SAQUISILÍ,COCHAPAMBA,30.0
202,COTOPAXI,SIGCHOS,SIGCHOS,10.0
203,COTOPAXI,SIGCHOS,CHUGCHILLÁN,24.0
204,COTOPAXI,SIGCHOS,ISINLIVI,23.0
205,COTOPAXI,SIGCHOS,LAS PAMPAS,14.0
