;Provincia;Cantón;Parroquia;Densidad Poblacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;SÍGSIG;CUCHIL;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;SÍGSIG;JIMA;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;SÍGSIG;GÜEL;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;SÍGSIG;LUDO;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;SÍGSIG;SAN BARTOLOMÉ;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;SÍGSIG;SAN JOSÉ DE RARANGA;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;OÑA;SAN FELIPE DE OÑA;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;OÑA;SUSUDEL;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CHORDELEG;CHORDELEG;423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CHORDELEG;PRINCIPAL;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CHORDELEG;LA UNIÓN;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CHORDELEG;LUIS GALARZA ORELLANA;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CHORDELEG;SAN MARTÍN DE PUZHIO;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;EL PAN;EL PAN;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;EL PAN;SAN VICENTE;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;SEVILLA DE ORO;SEVILLA DE ORO;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;SEVILLA DE ORO;AMALUZA;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;SEVILLA DE ORO;PALMAS;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;GUACHAPALA;GUACHAPALA;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CAMILO PONCE ENRÍQUEZ;CAMILO PONCE ENRÍQUEZ;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;GUARANDA;GUARANDA;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;GUARANDA;FACUNDO VELA;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;GUARANDA;JULIO E. MORENO;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;GUARANDA;SALINAS;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;GUARANDA;SAN LORENZO;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
